Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
2568310,Deepak Bhargava,Political Science,PADM611,5.0,4.0,Not sure yet,1,0,"Deepak has been a pleasure to work with. I started my Graduate Certificate program at CUNY SLU with some apprehension, but he made the semester worth it. He is very much about current events and incorporates them into class. There is group work, readings, papers and presentations. The work is manageable and not overwhelming.","Nov 23rd, 2020",CUNY School of Labor and Urban Studies
2951455,Joshua Krutchin,English,Writing,5.0,4.0,A,0,0,"Inspiring, thought provoking and challenging in a timely, real world use of skill talent and presentation. His assignments and projects are evolving and engaging of lived experience and environment of the NYC as classroom. He is very easy and comfortable to talk with. His classes and syllabus are a living thing that evolves.","Nov 17th, 2023",CUNY School of Labor and Urban Studies
